date,sku_id,store_id,quantity_sold,day_of_week,weekofyear,month,is_weekend,event_Flu Season,event_Public Holiday,event_School Holiday,rolling_7d_sales
2024-01-01,SKU_001,Store_A,45,0,1,1,False,False,True,False,0.0
2024-01-02,SKU_001,Store_A,51,1,1,1,False,False,False,False,0.0
2024-01-03,SKU_001,Store_A,51,2,1,1,False,False,False,False,0.0
2024-01-04,SKU_001,Store_A,57,3,1,1,False,False,False,False,0.0
2024-01-05,SKU_001,Store_A,46,4,1,1,False,False,False,False,0.0
2024-01-06,SKU_001,Store_A,51,5,1,1,True,False,False,False,0.0
2024-01-07,SKU_001,Store_A,42,6,1,1,True,False,False,False,0.0
2024-01-08,SKU_001,Store_A,50,0,2,1,False,False,False,False,49.0
2024-01-09,SKU_001,Store_A,55,1,2,1,False,False,False,False,49.714285714285715
2024-01-10,SKU_001,Store_A,49,2,2,1,False,False,False,False,50.285714285714285
2024-01-11,SKU_001,Store_A,55,3,2,1,False,False,False,False,50.0
2024-01-12,SKU_001,Store_A,55,4,2,1,False,False,False,False,49.714285714285715
2024-01-13,SKU_001,Store_A,56,5,2,1,True,False,False,False,51.0
2024-01-14,SKU_001,Store_A,54,6,2,1,True,False,False,False,51.714285714285715
2024-01-15,SKU_001,Store_A,55,0,3,1,False,False,True,False,53.42857142857143
2024-01-16,SKU_001,Store_A,57,1,3,1,False,False,False,False,54.142857142857146
2024-01-17,SKU_001,Store_A,59,2,3,1,False,False,False,False,54.42857142857143
2024-01-18,SKU_001,Store_A,55,3,3,1,False,False,False,False,55.857142857142854
2024-01-19,SKU_001,Store_A,60,4,3,1,False,False,False,False,55.857142857142854
2024-01-20,SKU_001,Store_A,59,5,3,1,True,False,False,False,56.57142857142857
2024-01-21,SKU_001,Store_A,66,6,3,1,True,False,False,False,57.0
2024-01-22,SKU_001,Store_A,60,0,4,1,False,False,False,False,58.714285714285715
2024-01-23,SKU_001,Store_A,58,1,4,1,False,False,False,False,59.42857142857143
2024-01-24,SKU_001,Store_A,71,2,4,1,False,False,False,False,59.57142857142857
2024-01-25,SKU_001,Store_A,51,3,4,1,False,False,False,False,61.285714285714285
2024-01-26,SKU_001,Store_A,67,4,4,1,False,False,False,False,60.714285714285715
2024-01-27,SKU_001,Store_A,66,5,4,1,True,False,False,False,61.714285714285715
2024-01-28,SKU_001,Store_A,56,6,4,1,True,False,False,False,62.714285714285715
2024-01-29,SKU_001,Store_A,67,0,5,1,False,True,False,False,61.285714285714285
2024-01-30,SKU_001,Store_A,64,1,5,1,False,False,False,False,62.285714285714285
2024-01-31,SKU_001,Store_A,60,2,5,1,False,False,False,False,63.142857142857146
2024-02-01,SKU_001,Store_A,56,3,5,2,False,False,False,False,61.57142857142857
2024-02-02,SKU_001,Store_A,65,4,5,2,False,False,False,False,62.285714285714285
2024-02-03,SKU_001,Store_A,58,5,5,2,True,False,False,False,62.0
2024-02-04,SKU_001,Store_A,55,6,5,2,True,False,False,False,60.857142857142854
2024-02-05,SKU_001,Store_A,60,0,6,2,False,False,False,False,60.714285714285715
2024-02-06,SKU_001,Store_A,59,1,6,2,False,False,False,False,59.714285714285715
2024-02-07,SKU_001,Store_A,61,2,6,2,False,False,False,False,59.0
2024-02-08,SKU_001,Store_A,60,3,6,2,False,False,False,False,59.142857142857146
2024-02-09,SKU_001,Store_A,66,4,6,2,False,False,False,False,59.714285714285715
2024-02-10,SKU_001,Store_A,63,5,6,2,True,False,False,False,59.857142857142854
2024-02-11,SKU_001,Store_A,59,6,6,2,True,False,False,False,60.57142857142857
2024-02-12,SKU_001,Store_A,55,0,7,2,False,False,True,False,61.142857142857146
2024-02-13,SKU_001,Store_A,65,1,7,2,False,False,False,False,60.42857142857143
2024-02-14,SKU_001,Store_A,62,2,7,2,False,False,False,False,61.285714285714285
2024-02-15,SKU_001,Store_A,71,3,7,2,False,False,False,False,61.42857142857143
2024-02-16,SKU_001,Store_A,58,4,7,2,False,False,False,False,63.0
2024-02-17,SKU_001,Store_A,65,5,7,2,True,False,False,False,61.857142857142854
2024-02-18,SKU_001,Store_A,58,6,7,2,True,False,False,False,62.142857142857146
2024-02-19,SKU_001,Store_A,56,0,8,2,False,False,False,False,62.0
2024-02-20,SKU_001,Store_A,47,1,8,2,False,False,False,False,62.142857142857146
2024-02-21,SKU_001,Store_A,57,2,8,2,False,False,False,False,59.57142857142857
2024-02-22,SKU_001,Store_A,49,3,8,2,False,False,False,False,58.857142857142854
2024-02-23,SKU_001,Store_A,50,4,8,2,False,False,False,False,55.714285714285715
2024-02-24,SKU_001,Store_A,52,5,8,2,True,False,False,False,54.57142857142857
2024-02-25,SKU_001,Store_A,50,6,8,2,True,False,False,False,52.714285714285715
2024-02-26,SKU_001,Store_A,42,0,9,2,False,False,True,False,51.57142857142857
2024-02-27,SKU_001,Store_A,46,1,9,2,False,False,False,False,49.57142857142857
2024-02-28,SKU_001,Store_A,53,2,9,2,False,False,False,False,49.42857142857143
2024-02-29,SKU_001,Store_A,51,3,9,2,False,False,False,False,48.857142857142854
2024-03-01,SKU_001,Store_A,51,4,9,3,False,False,False,False,49.142857142857146
2024-03-02,SKU_001,Store_A,47,5,9,3,True,False,False,False,49.285714285714285
2024-03-03,SKU_001,Store_A,49,6,9,3,True,False,False,False,48.57142857142857
2024-03-04,SKU_001,Store_A,46,0,10,3,False,False,False,False,48.42857142857143
2024-03-05,SKU_001,Store_A,43,1,10,3,False,False,False,False,49.0
2024-03-06,SKU_001,Store_A,49,2,10,3,False,False,False,False,48.57142857142857
2024-03-07,SKU_001,Store_A,42,3,10,3,False,False,False,False,48.0
2024-03-08,SKU_001,Store_A,38,4,10,3,False,False,False,False,46.714285714285715
2024-03-09,SKU_001,Store_A,47,5,10,3,True,False,False,False,44.857142857142854
2024-03-10,SKU_001,Store_A,47,6,10,3,True,False,False,False,44.857142857142854
2024-03-11,SKU_001,Store_A,32,0,11,3,False,True,False,False,44.57142857142857
2024-03-12,SKU_001,Store_A,43,1,11,3,False,False,False,False,42.57142857142857
2024-03-13,SKU_001,Store_A,29,2,11,3,False,False,False,False,42.57142857142857
2024-03-14,SKU_001,Store_A,44,3,11,3,False,False,False,False,39.714285714285715
2024-03-15,SKU_001,Store_A,33,4,11,3,False,False,False,False,40.0
2024-03-16,SKU_001,Store_A,41,5,11,3,True,False,False,False,39.285714285714285
2024-03-17,SKU_001,Store_A,34,6,11,3,True,False,False,False,38.42857142857143
2024-03-18,SKU_001,Store_A,38,0,12,3,False,False,False,False,36.57142857142857
2024-03-19,SKU_001,Store_A,29,1,12,3,False,False,False,False,37.42857142857143
2024-03-20,SKU_001,Store_A,34,2,12,3,False,False,False,False,35.42857142857143
2024-03-21,SKU_001,Store_A,35,3,12,3,False,False,False,False,36.142857142857146
2024-03-22,SKU_001,Store_A,39,4,12,3,False,False,False,False,34.857142857142854
2024-03-23,SKU_001,Store_A,43,5,12,3,True,False,False,False,35.714285714285715
2024-03-24,SKU_001,Store_A,37,6,12,3,True,False,False,False,36.0
2024-03-25,SKU_001,Store_A,35,0,13,3,False,False,False,True,36.42857142857143
2024-03-26,SKU_001,Store_A,28,1,13,3,False,False,False,False,36.0
2024-03-27,SKU_001,Store_A,26,2,13,3,False,False,False,False,35.857142857142854
2024-03-28,SKU_001,Store_A,34,3,13,3,False,False,False,False,34.714285714285715
2024-03-29,SKU_001,Store_A,34,4,13,3,False,False,False,False,34.57142857142857
2024-03-30,SKU_001,Store_A,36,5,13,3,True,False,False,False,33.857142857142854
2024-03-31,SKU_001,Store_A,37,6,13,3,True,False,False,False,32.857142857142854
2024-04-01,SKU_001,Store_A,35,0,14,4,False,False,False,False,32.857142857142854
2024-04-02,SKU_001,Store_A,26,1,14,4,False,False,False,False,32.857142857142854
2024-04-03,SKU_001,Store_A,38,2,14,4,False,False,False,False,32.57142857142857
2024-04-04,SKU_001,Store_A,33,3,14,4,False,False,False,False,34.285714285714285
2024-04-05,SKU_001,Store_A,29,4,14,4,False,False,False,False,34.142857142857146
2024-04-06,SKU_001,Store_A,32,5,14,4,True,False,False,False,33.42857142857143
2024-04-07,SKU_001,Store_A,27,6,14,4,True,False,False,False,32.857142857142854
2024-04-08,SKU_001,Store_A,33,0,15,4,False,True,False,False,31.428571428571427
2024-04-09,SKU_001,Store_A,39,1,15,4,False,False,False,False,31.142857142857142
2024-04-10,SKU_001,Store_A,34,2,15,4,False,False,False,False,33.0
2024-04-11,SKU_001,Store_A,31,3,15,4,False,False,False,False,32.42857142857143
2024-04-12,SKU_001,Store_A,35,4,15,4,False,False,False,False,32.142857142857146
2024-04-13,SKU_001,Store_A,39,5,15,4,True,False,False,False,33.0
2024-04-14,SKU_001,Store_A,30,6,15,4,True,False,False,False,34.0
2024-04-15,SKU_001,Store_A,33,0,16,4,False,False,False,False,34.42857142857143
2024-04-16,SKU_001,Store_A,39,1,16,4,False,False,False,False,34.42857142857143
2024-04-17,SKU_001,Store_A,33,2,16,4,False,False,False,False,34.42857142857143
2024-04-18,SKU_001,Store_A,49,3,16,4,False,False,False,False,34.285714285714285
2024-04-19,SKU_001,Store_A,39,4,16,4,False,False,False,False,36.857142857142854
2024-04-20,SKU_001,Store_A,36,5,16,4,True,False,False,False,37.42857142857143
2024-04-21,SKU_001,Store_A,37,6,16,4,True,False,False,False,37.0
2024-04-22,SKU_001,Store_A,40,0,17,4,False,True,False,False,38.0
2024-04-23,SKU_001,Store_A,40,1,17,4,False,False,False,False,39.0
2024-04-24,SKU_001,Store_A,33,2,17,4,False,False,False,False,39.142857142857146
2024-04-25,SKU_001,Store_A,51,3,17,4,False,False,False,False,39.142857142857146
2024-04-26,SKU_001,Store_A,45,4,17,4,False,False,False,False,39.42857142857143
2024-04-27,SKU_001,Store_A,46,5,17,4,True,False,False,False,40.285714285714285
2024-04-28,SKU_001,Store_A,51,6,17,4,True,False,False,False,41.714285714285715
2024-04-29,SKU_001,Store_A,42,0,18,4,False,False,False,False,43.714285714285715
2024-04-30,SKU_001,Store_A,44,1,18,4,False,False,False,False,44.0
2024-05-01,SKU_001,Store_A,51,2,18,5,False,False,False,False,44.57142857142857
