date,sku_id,store_id,quantity_sold,day_of_week,weekofyear,month,is_weekend,is_flu_season,is_holiday,is_school_holiday,price,on_promo,days_to_expiry,rolling_7d_sales
2023-01-01,SKU_001,Store_A,15,6,52,1,1,1,1,0,12.67,0,235,15.0
2023-01-02,SKU_001,Store_A,9,0,1,1,0,1,0,0,14.44,0,150,12.0
2023-01-03,SKU_001,Store_A,11,1,1,1,0,1,0,0,16.53,0,66,11.666666666666666
2023-01-04,SKU_001,Store_A,15,2,1,1,0,1,0,0,4.59,0,135,12.5
2023-01-05,SKU_001,Store_A,14,3,1,1,0,1,0,0,7.02,0,172,12.8
2023-01-06,SKU_001,Store_A,13,4,1,1,0,1,0,0,30.68,0,199,12.833333333333334
2023-01-07,SKU_001,Store_A,11,5,1,1,1,1,0,0,3.75,0,258,12.571428571428571
2023-01-08,SKU_001,Store_A,12,6,1,1,1,1,0,0,27.24,0,317,12.142857142857142
2023-01-09,SKU_001,Store_A,10,0,2,1,0,1,0,0,24.4,0,357,12.285714285714286
2023-01-10,SKU_001,Store_A,13,1,2,1,0,1,0,0,37.51,0,286,12.571428571428571
2023-01-11,SKU_001,Store_A,11,2,2,1,0,1,0,0,22.0,0,289,12.0
2023-01-12,SKU_001,Store_A,14,3,2,1,0,1,0,0,21.1,0,158,12.0
2023-01-13,SKU_001,Store_A,13,4,2,1,0,1,0,0,62.93,1,158,12.0
2023-01-14,SKU_001,Store_A,16,5,2,1,1,1,0,0,48.63,0,288,12.714285714285714
2023-01-15,SKU_001,Store_A,12,6,2,1,1,1,0,0,18.85,0,328,12.714285714285714
2023-01-16,SKU_001,Store_A,17,0,3,1,0,1,0,0,36.8,1,121,13.714285714285714
2023-01-17,SKU_001,Store_A,18,1,3,1,0,1,0,0,34.12,0,227,14.428571428571429
2023-01-18,SKU_001,Store_A,11,2,3,1,0,1,0,0,38.97,0,256,14.428571428571429
2023-01-19,SKU_001,Store_A,23,3,3,1,0,1,0,0,52.68,1,394,15.714285714285714
2023-01-20,SKU_001,Store_A,13,4,3,1,0,1,0,0,59.79,0,133,15.714285714285714
2023-01-21,SKU_001,Store_A,26,5,3,1,1,1,0,0,51.39,1,310,17.142857142857142
2023-01-22,SKU_001,Store_A,12,6,3,1,1,1,0,0,6.1,0,204,17.142857142857142
2023-01-23,SKU_001,Store_A,17,0,4,1,0,1,0,0,12.11,1,306,17.142857142857142
2023-01-24,SKU_001,Store_A,11,1,4,1,0,1,0,0,59.19,0,85,16.142857142857142
2023-01-25,SKU_001,Store_A,23,2,4,1,0,1,1,0,49.55,0,130,17.857142857142858
2023-01-26,SKU_001,Store_A,10,3,4,1,0,1,0,0,48.06,0,104,16.0
2023-01-27,SKU_001,Store_A,10,4,4,1,0,1,0,0,58.89,1,185,15.571428571428571
2023-01-28,SKU_001,Store_A,14,5,4,1,1,1,0,0,34.64,0,95,13.857142857142858
2023-01-29,SKU_001,Store_A,11,6,4,1,1,1,0,0,45.99,0,346,13.714285714285714
2023-01-30,SKU_001,Store_A,7,0,5,1,0,1,0,0,31.62,0,148,12.285714285714286
2023-01-31,SKU_001,Store_A,21,1,5,1,0,1,0,0,16.59,1,110,13.714285714285714
2023-02-01,SKU_001,Store_A,9,2,5,2,0,1,0,0,7.8,0,136,11.714285714285714
2023-02-02,SKU_001,Store_A,18,3,5,2,0,1,0,0,50.95,1,380,12.857142857142858
2023-02-03,SKU_001,Store_A,18,4,5,2,0,1,0,0,34.8,0,327,14.0
2023-02-04,SKU_001,Store_A,15,5,5,2,1,1,0,0,17.12,0,279,14.142857142857142
2023-02-05,SKU_001,Store_A,6,6,5,2,1,1,0,0,56.82,0,320,13.428571428571429
2023-02-06,SKU_001,Store_A,8,0,6,2,0,1,0,0,30.23,0,270,13.571428571428571
2023-02-07,SKU_001,Store_A,11,1,6,2,0,1,0,0,33.47,0,211,12.142857142857142
2023-02-08,SKU_001,Store_A,19,2,6,2,0,1,0,0,37.02,0,391,13.571428571428571
2023-02-09,SKU_001,Store_A,10,3,6,2,0,1,0,0,6.53,0,249,12.428571428571429
2023-02-10,SKU_001,Store_A,10,4,6,2,0,1,0,0,47.34,0,222,11.285714285714286
2023-02-11,SKU_001,Store_A,14,5,6,2,1,1,0,0,10.95,0,338,11.142857142857142
2023-02-12,SKU_001,Store_A,15,6,6,2,1,1,0,0,41.24,0,330,12.428571428571429
2023-02-13,SKU_001,Store_A,13,0,7,2,0,1,0,0,26.55,0,164,13.142857142857142
2023-02-14,SKU_001,Store_A,12,1,7,2,0,1,0,0,50.24,0,224,13.285714285714286
2023-02-15,SKU_001,Store_A,18,2,7,2,0,1,0,0,30.25,0,255,13.142857142857142
2023-02-16,SKU_001,Store_A,16,3,7,2,0,1,0,0,11.59,1,174,14.0
2023-02-17,SKU_001,Store_A,12,4,7,2,0,1,0,0,63.28,0,178,14.285714285714286
2023-02-18,SKU_001,Store_A,10,5,7,2,1,1,0,0,41.28,0,204,13.714285714285714
2023-02-19,SKU_001,Store_A,16,6,7,2,1,1,0,0,32.39,0,220,13.857142857142858
2023-02-20,SKU_001,Store_A,19,0,8,2,0,1,0,0,5.28,0,98,14.714285714285714
2023-02-21,SKU_001,Store_A,10,1,8,2,0,1,0,0,44.28,0,224,14.428571428571429
2023-02-22,SKU_001,Store_A,11,2,8,2,0,1,0,0,38.93,0,264,13.428571428571429
2023-02-23,SKU_001,Store_A,14,3,8,2,0,1,0,0,21.96,0,295,13.142857142857142
2023-02-24,SKU_001,Store_A,20,4,8,2,0,1,0,0,26.89,1,327,14.285714285714286
